,Name,Sex,Age,Height,Weight
781,Diana Monteiro Abla,F,21.0,175.0,75.0
782,Enver Nazymovych Ablaiev,M,22.0,169.0,68.0
785,Leslie Ablett,M,24.0,,
787,"Edgar Allen ""Ed"" Ablowich",M,19.0,182.0,68.0
788,Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0
798,Karin Abma,F,24.0,174.0,62.0
799,Thorine Christelle Aboa Mbeza,F,23.0,182.0,78.0
800,Felix Ahmed Aboagye,M,20.0,176.0,70.0
801,Bukola Dammy Abogunloko,F,17.0,170.0,53.0
802,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0
806,Mohamed Aboker,M,26.0,175.0,61.0
808,Ilze bola,F,19.0,169.0,60.0
809,Agnese boltia,F,17.0,166.0,60.0
812,Abdul Razzak Aboobakur,M,25.0,168.0,59.0
813,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0
815,Piroska Abos Gvorgyzakab,F,25.0,,
818,Jean-Pierre Abossolo-Ze,M,27.0,,
820,Abdelhalim Muhammad Abou,M,27.0,210.0,88.0
821,Tarek Abou Al Dahab,M,28.0,170.0,64.0
827,Bachir Hani Abou Assi,M,24.0,175.0,74.0
828,Ashraf Abou El-Hassan,M,25.0,186.0,86.0
831,Galal El-Din Abdel Meguid Abou El-Kheir,M,24.0,,
832,Magdy Abou El-Magd,M,27.0,188.0,85.0
833,Essameldin Abou El-Nein,M,29.0,205.0,102.0
834,Abdel Khlik Abou El-Yazi,M,26.0,,
835,Mohamed Moustafa Abou Elea,M,20.0,168.0,54.0
836,Mahmoud Abou Elelaa,M,30.0,181.0,76.0
837,Mohammed Tawfiq Abou Habaga,M,27.0,,
838,Zaid Abou Hamed,M,30.0,182.0,79.0
839,Youssef Kamel Mohamed Abou Ouf,M,24.0,,
841,Gaber Mooti Abou Zeid,M,22.0,187.0,82.0
843,Taher Abou Zeid Sayid Amer,M,22.0,,
844,Ahmed Farid Abou-Shadi,M,38.0,,
848,Abdel Fattah Abou-Shanab,M,24.0,,
850,Sadoon Mohamed Aboub,M,21.0,170.0,48.0
851,Zakaria Aboub,M,20.0,171.0,65.0
852,Inni Aboubacar,M,,,
853,Ibrahim Mohamedin Aboubaker,M,21.0,190.0,65.0
855,Ahmed Ghmin Aboud,M,22.0,170.0,51.0
856,Fathi Khalifa Aboud,M,23.0,175.0,75.0
857,Kamel Aboud,M,22.0,178.0,67.0
858,Marwan Suhail Aboud,M,,,
859,Rabah Aboud,M,31.0,180.0,64.0
860,Mamdouh Taha Al-Husseini Abouebaid,M,28.0,183.0,85.0
861,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21.0,188.0,87.0
865,Haysam Farouk Abouelw,M,21.0,,
